"UniprotID"	"original"
"P15559"	"NQO1"
"P15621"	"ZNF44"
"P15880"	"RPS2"
"P15907"	"ST6GAL1"
"P15927"	"RPA2"
"P16035"	"TIMP2"
"P16050"	"ALOX15"
"P16070"	"CD44"
"P16083"	"NQO2"
"P16150"	"SPN"
"P16220"	"CREB1"
"P16298"	"PPP3CB"
"P16444"	"DPEP1"
"P16455"	"MGMT"
"P16885"	"PLCG2"
"P16949"	"STMN1"
"P16989"	"YBX3"
"P17026"	"ZNF22"
"P17081"	"RHOQ"
"P17252"	"PRKCA"
"P17301"	"ITGA2"
"P17302"	"GJA1"
"P17480"	"UBTF"
"P17535"	"JUND"
"P17542"	"TAL1"
"P17612"	"PRKACA"
"P17707"	"AMD1"
"P17844"	"DDX5"
"P17927"	"CR1"
"P17987"	"TCP1"
"P18085"	"ARF4"
"P18089"	"ADRA2B"
"P18124"	"RPL7"
"P18146"	"EGR1"
"P18433"	"PTPRA"
"P18583"	"SON"
"P18621"	"RPL17"
"P18859"	"ATP5PF"
"P19021"	"PAM"
"P19338"	"NCL"
"P19367"	"HK1"
"P19474"	"TRIM21"
"P19544"	"WT1"
"P19801"	"AOC1"
"P20020"	"ATP2B1"
"P20042"	"EIF2S2"
"P20062"	"TCN2"
"P20073"	"ANXA7"
"P20290"	"BTF3"
"P20594"	"NPR2"
"P20618"	"PSMB1"
"P20645"	"M6PR"
"P20810"	"CAST"
"P20815"	"CYP3A5"
"P20827"	"EFNA1"
"P20839"	"IMPDH1"
"P21281"	"ATP6V1B2"
"P21359"	"NF1"
"P21580"	"TNFAIP3"
"P21731"	"TBXA2R"
"P21796"	"VDAC1"
"P21912"	"SDHB"
"P21918"	"DRD5"
"P21926"	"CD9"
"P21953"	"BCKDHB"
"P21980"	"TGM2"
"P22083"	"FUT4"
"P22307"	"SCP2"
"P22531"	"SPRR2E"
"P22626"	"HNRNPA2B1"
"P22695"	"UQCRC2"
"P22749"	"GNLY"
"P22830"	"FECH"
"P23025"	"XPA"
"P23193"	"TCEA1"
"P23246"	"SFPQ"
"P23284"	"PPIB"
"P23381"	"WARS1"
"P23396"	"RPS3"
"P23467"	"PTPRB"
"P23468"	"PTPRD"
"P23497"	"SP100"
"P23526"	"AHCY"
"P23634"	"ATP2B4"
"P23769"	"GATA2"
"P24278"	"ZBTB25"
"P24390"	"KDELR1"
"P24394"	"IL4R"
"P24534"	"EEF1B2"
"P24539"	"ATP5PB"
"P24666"	"ACP1"
"P24821"	"TNC"
"P24928"	"POLR2A"
"P24941"	"CDK2"
"P25116"	"F2R"
"P25208"	"NFYB"
"P25398"	"RPS12"
"P25490"	"YY1"
"P25685"	"DNAJB1"
"P25686"	"DNAJB2"
"P25705"	"ATP5F1A"
"P25786"	"PSMA1"
"P25787"	"PSMA2"
"P25788"	"PSMA3"
"P26196"	"DDX6"
"P26368"	"U2AF2"
"P26373"	"RPL13"
"P26439"	"HSD3B2"
"P26440"	"IVD"
"P26447"	"S100A4"
"P26572"	"MGAT1"
"P26717"	"KLRC2"
"P26927"	"MST1"
"P27105"	"STOM"
"P27144"	"AK4"
"P27361"	"MAPK3"
"P27482"	"CALML3"
"P27824"	"CANX"
"P28062"	"PSMB8"
"P28065"	"PSMB9"
"P28161"	"GSTM2"
"P28289"	"TMOD1"
"P28300"	"LOX"
"P28356"	"HOXD9"
"P28482"	"MAPK1"
"P28799"	"GRN"
"P28838"	"LAP3"
"P29122"	"PCSK6"
"P29279"	"CCN2"
"P29353"	"SHC1"
"P29375"	"KDM5A"
"P29400"	"COL4A5"
"P29590"	"PML"
"P29597"	"TYK2"
"P29692"	"EEF1D"
"P29992"	"GNA11"
"P30038"	"ALDH4A1"
"P30041"	"PRDX6"
"P30044"	"PRDX5"
"P30048"	"PRDX3"
"P30050"	"RPL12"
"P30084"	"ECHS1"
"P30086"	"PEBP1"
"P30153"	"PPP2R1A"
"P30260"	"CDC27"
"P30305"	"CDC25B"
"P30414"	"NKTR"
"P30542"	"ADORA1"
"P30550"	"GRPR"
"P30626"	"SRI"
"P30926"	"CHRNB4"
"P31025"	"LCN1"
"P31323"	"PRKAR2B"
"P31391"	"SSTR4"
"P31483"	"TIA1"
"P31641"	"SLC6A6"
"P31751"	"AKT2"
"P31930"	"UQCRC1"
"P31942"	"HNRNPH3"
