"","IDs","Slide_18.B.02912_Glo_ROI_1","Slide_18.B.02912_Glo_ROI_2","Slide_18.B.02912_Glo_ROI_3","Slide_18.B.02912_Glo_ROI_4","Slide_18.B.02912_Glo_ROI_5","Z_scores_Slide_18.B.02912_Glo_ROI_1","Z_scores_Slide_18.B.02912_Glo_ROI_2","Z_scores_Slide_18.B.02912_Glo_ROI_3","Z_scores_Slide_18.B.02912_Glo_ROI_4","Z_scores_Slide_18.B.02912_Glo_ROI_5","hclust_clusters"
"CFA69_HUMAN","CFAP69@CFA69_HUMAN",2.78659636189081,3.52356195605701,2.78659636189081,3.15380533607904,4.53605290024021,-0.785823761736335,0.228892320726887,-0.785823761736335,-0.280219626776429,1.62297482952221,5
"CFA70_HUMAN","CFAP70@CFA70_HUMAN",0.765534746362977,3.52356195605701,3.36457243229586,1.58496250072116,2.37851162325373,-1.32861260617506,1.02350502284338,0.887914605042772,-0.629783218285634,0.0469761965745428,4
"CFA73_HUMAN","CFAP73@CFA73_HUMAN",3.10433665981474,2.78659636189081,3.78659636189081,1.58496250072116,1.37851162325373,0.562670343519364,0.252356362926685,1.22898407625177,-0.921192567161426,-1.1228182155364,1
"CFA74_HUMAN","CFAP74@CFA74_HUMAN",0.765534746362977,2.20163386116965,2.78659636189081,3.88752527074159,2.94485844580754,-1.52160733029716,-0.274141903062145,0.233984930493361,1.19030524117039,0.371459061695557,5
"CFA77_HUMAN","CFAP77@CFA77_HUMAN",3.10433665981474,2.78659636189081,1.76553474636298,3.15380533607904,4.17791779219584,0.123380731198214,-0.244038093215793,-1.42474214895795,0.18058380867093,1.3648157023046,3
"CFA97_HUMAN","CFAP97@CFA97_HUMAN",3.95419631038688,1.20163386116965,3.78659636189081,4.14567745519564,4.17791779219584,0.394946106255803,-1.77497660884796,0.262822333588896,0.545896100415885,0.571312068587377,2
"CF97D_HUMAN","CFAP97D1@CF97D_HUMAN",2.37851162325373,2.20163386116965,3.36457243229586,3.15380533607904,1.37851162325373,-0.14679857619374,-0.368923777920346,1.09150834007687,0.826824508639436,-1.40261049460222,1
"CFA99_HUMAN","CFAP99@CFA99_HUMAN",3.78659636189081,4.20163386116965,3.36457243229586,1.58496250072116,3.68929916053589,0.453123451119117,0.860907390919586,0.0384751819884221,-1.71003272504774,0.357526701020615,4
"CFAB_HUMAN","CFB@CFAB_HUMAN",1.76553474636298,2.20163386116965,3.36457243229586,3.56071495447448,4.37155886261196,-1.2169192406408,-0.804652866531849,0.294731314154193,0.480154681644888,1.24668611137357,5
"CFC1_HUMAN","CFC1@CFC1_HUMAN",3.36457243229586,2.78659636189081,1.76553474636298,2.56071495447448,1.37851162325373,1.24477097940723,0.520533328303476,-0.758916295871865,0.237490779810827,-1.24387879164967,1
