"","IDs","Slide_20.B.00423_Glo_ROI_1","Slide_20.B.00423_Glo_ROI_2","Slide_20.B.00423_Glo_ROI_3","Z_scores_Slide_20.B.00423_Glo_ROI_1","Z_scores_Slide_20.B.00423_Glo_ROI_2","Z_scores_Slide_20.B.00423_Glo_ROI_3","hclust_clusters"
"BGAT_HUMAN","ABO@BGAT_HUMAN",3.75488750216347,3.73335434061383,4.76022094646651,-0.558903366250967,-0.595602755406775,1.15450612165774,1
"ABR_HUMAN","ABR@ABR_HUMAN",4.16992500144231,4.06177619758669,4.53605290024021,-0.345968733694833,-0.781074974325445,1.12704370802028,1
"ABRA_HUMAN","ABRA@ABRA_HUMAN",1.43295940727611,3.36457243229586,3.36457243229586,-1.15470053837925,0.577350269189626,0.577350269189626,2
"ABRAL_HUMAN","ABRACL@ABRAL_HUMAN",3.30742852519225,4.37155886261196,2.94485844580754,-0.315361119639191,1.11966316005982,-0.804302040420625,3
"ABRX1_HUMAN","ABRAXAS1@ABRX1_HUMAN",3.30742852519225,3.56071495447448,2.94485844580754,0.117683903629691,0.935950928195792,-1.05363483182548,3
"ABRX2_HUMAN","ABRAXAS2@ABRX2_HUMAN",3.16992500144231,3.21723071622067,1.37851162325373,0.554637956396226,0.59976856189892,-1.15440651829515,3
"ABT1_HUMAN","ABT1@ABT1_HUMAN",2.65535182861255,2.88752527074159,3.82781902461732,-0.754147946019789,-0.380187974162682,1.13433592018247,1
"ABTB1_HUMAN","ABTB1@ABTB1_HUMAN",4.93073733756289,4.40599235967584,4.76022094646651,0.865791223942766,-1.09456332873544,0.228772104792675,4
"ABTB2_HUMAN","ABTB2@ABTB2_HUMAN",3.01792190799726,2.98185265328974,4.0703893278914,-0.547937382636083,-0.606271882918593,1.15420926555468,1
"THIK_HUMAN","ACAA1@THIK_HUMAN",4.09592441999854,3.78659636189081,4.68929916053589,-0.206396647713416,-0.880697157309611,1.08709380502302,1
"THIM_HUMAN","ACAA2@THIM_HUMAN",4.09592441999854,3.62058641045188,3.82781902461732,1.0398490020738,-0.954706675998794,-0.0851423260750026,4
"ACACA_HUMAN","ACACA@ACACA_HUMAN",4.09592441999854,3.83794324189103,3.82781902461732,1.15405961310166,-0.543716039790815,-0.610343573310843,4
"ACACB_HUMAN","ACACB@ACACB_HUMAN",4.16992500144231,3.67807190511264,4.0703893278914,0.758060119573707,-1.13335667428082,0.375296554707109,4
"ACD10_HUMAN","ACAD10@ACD10_HUMAN",3.54843662469604,3.56071495447448,4.17791779219584,-0.594322408553103,-0.560210159846796,1.1545325683999,1
"ACD11_HUMAN","ACAD11@ACD11_HUMAN",4.65535182861255,4.62058641045188,5.12515513132229,-0.514569336606974,-0.637932511138406,1.15250184774538,1
"ACAD8_HUMAN","ACAD8@ACAD8_HUMAN",3.84799690655495,4.01792190799726,4.37155886261196,-0.865456114015195,-0.229268382586518,1.09472449660172,1
"ACAD9_HUMAN","ACAD9@ACAD9_HUMAN",-0.15200309344505,0.584962500721156,0.37851162325373,-1.11132077739845,0.827183126774479,0.284137650623967,2
"ACADL_HUMAN","ACADL@ACADL_HUMAN",3.75488750216347,2.98185265328974,3.82781902461732,0.497813191596444,-1.15120173581862,0.653388544222172,1
"ACADM_HUMAN","ACADM@ACADM_HUMAN",3.93545974780529,4.64961545906341,5.01346225980656,-1.08931429873021,0.212925678237575,0.876388620492634,2
"ACADS_HUMAN","ACADS@ACADS_HUMAN",4.16992500144231,3.78659636189081,4.82781902461732,-0.173794181741772,-0.901711368932352,1.07550555067412,1
"ACDSB_HUMAN","ACADSB@ACDSB_HUMAN",2.84799690655495,4.26303440583379,2.94485844580754,-0.637532015730175,1.15253138055051,-0.514999364820337,3
"ACADV_HUMAN","ACADVL@ACADV_HUMAN",5.75221336786514,6.12722055048807,5.12515513132229,0.165946961873182,0.906645740978482,-1.07259270285166,3
"PGCA_HUMAN","ACAN@PGCA_HUMAN",3.65535182861255,2.78659636189081,3.36457243229586,0.874027922852766,-1.09050947981596,0.216481556963192,4
"ACAP2_HUMAN","ACAP2@ACAP2_HUMAN",3.84799690655495,3.88752527074159,4.0703893278914,-0.735865472935437,-0.402701096364791,1.13856656930023,1
"ACAP3_HUMAN","ACAP3@ACAP3_HUMAN",3.30742852519225,3.0703893278914,4.53605290024021,-0.420117475575892,-0.721405689893973,1.14152316546986,1
"THIL_HUMAN","ACAT1@THIL_HUMAN",4.88752527074159,4.93073733756289,4.37155886261196,0.506510104934144,0.645402632749998,-1.15191273768414,3
"THIC_HUMAN","ACAT2@THIC_HUMAN",0.84799690655495,2.78659636189081,2.70043971814109,-1.15380699305858,0.616236270100919,0.537570722957662,2
"GCP60_HUMAN","ACBD3@GCP60_HUMAN",3.54843662469604,4.22496636500027,4.17791779219584,-1.15245926905461,0.63850502997032,0.513954239084291,2
"ACBD4_HUMAN","ACBD4@ACBD4_HUMAN",2.84799690655495,3.36457243229586,2.94485844580754,-0.74467504413717,1.13659815102933,-0.391923106892161,2
"ACBD5_HUMAN","ACBD5@ACBD5_HUMAN",3.84799690655495,4.14567745519564,4.0703893278914,-1.1200288981349,0.803225161222649,0.316803736912255,2
"ACBD6_HUMAN","ACBD6@ACBD6_HUMAN",3.43295940727611,3.15380533607904,3.68929916053589,0.0283942512217284,-1.01389474232962,0.985500491107895,1
"ACBD7_HUMAN","ACBD7@ACBD7_HUMAN",2.84799690655495,2.98185265328974,3.16992500144231,-0.939432266383622,-0.111747763071748,1.05118002945537,1
"1A1L1_HUMAN","ACCS@1A1L1_HUMAN",3.16992500144231,3.0703893278914,3.16992500144231,0.577350269189623,-1.15470053837925,0.577350269189623,1
"1A1L2_HUMAN","ACCSL@1A1L2_HUMAN",4.01792190799726,2.98185265328974,3.36457243229586,1.07491457999178,-0.902722925240736,-0.172191654751044,4
"R4GNJ5_HUMAN","ACD@R4GNJ5_HUMAN",3.43295940727611,3.49825086752783,3.95419631038688,-0.68848390500262,-0.458560908987274,1.14704481398989,1
"ACE_HUMAN","ACE@ACE_HUMAN",3.75488750216347,3.15380533607904,3.36457243229586,1.08357346436947,-0.887331824011781,-0.196241640357687,4
"ACE2_HUMAN","ACE2@ACE2_HUMAN",3.93545974780529,4.01792190799726,4.17791779219584,-0.878557830327677,-0.209644889359808,1.08820271968748,1
"ACER1_HUMAN","ACER1@ACER1_HUMAN",3.54843662469604,2.29278174922785,4.27798474729977,0.174643606944559,-1.07581798855093,0.901174381606371,1
"ACER2_HUMAN","ACER2@ACER2_HUMAN",4.24031432933371,3.56071495447448,4.4594316186373,0.32755332913945,-1.12269877424665,0.7951454451072,1
"ACER3_HUMAN","ACER3@ACER3_HUMAN",3.93545974780529,3.62058641045188,4.27798474729977,-0.028033244063323,-0.985688635992154,1.01372188005548,1
"ACES_HUMAN","ACHE@ACES_HUMAN",3.30742852519225,3.43295940727611,3.82781902461732,-0.792844463791992,-0.330591001942145,1.12343546573414,1
"ACINU_HUMAN","ACIN1@ACINU_HUMAN",4.97269265400426,4.88264304936184,4.0703893278914,0.665570450685126,0.484381820848789,-1.14995227153391,3
