"","Dim.1","Dim.2"
"THIK_HUMAN",0.00764538079373112,0.00216938616332516
"THIM_HUMAN",0.000172311253725193,0.0134990026992448
"ACACA_HUMAN",0.00307569913137886,0.00909729452126537
"ACACB_HUMAN",0.000629995577684338,0.0128051261258769
"ACD10_HUMAN",0.00905597101735106,3.08477438207992e-05
"ACD11_HUMAN",0.0089326595927729,0.000217795175192799
"ACAD8_HUMAN",0.00847963221976334,0.000904611534788685
"ACAD9_HUMAN",0.000860782599811744,0.0124552393158891
"ACADL_HUMAN",0.00237556115562212,0.01015874520697
"ACADM_HUMAN",0.00579894472151284,0.00496869273264514
"ACADS_HUMAN",0.00745102651680966,0.00246403877131284
"ACDSB_HUMAN",0.00136256473420737,0.0116945078471339
"ACADV_HUMAN",0.00740293382932375,0.00253695013718203
"PGCA_HUMAN",0.000139227524847628,0.0135491595939122
"ACAP2_HUMAN",0.00898047896246132,0.000145298175310949
"ACAP3_HUMAN",0.00866075742979947,0.000630014976612382
"THIL_HUMAN",0.00891449837608055,0.000245328656561946
"THIC_HUMAN",0.00246898307833779,0.0100171120327101
"GCP60_HUMAN",0.00228565843522489,0.0102950430618454
"ACBD4_HUMAN",0.000702237485470275,0.0126956031101126
"ACBD5_HUMAN",0.00102284117514911,0.0122095489064662
"ACBD6_HUMAN",0.00607537865498526,0.00454960249843902
"ACBD7_HUMAN",0.0079364830350218,0.00172805790471423
"1A1L1_HUMAN",0.00178290749808454,0.0110572432930062
"1A1L2_HUMAN",0.000409740551371616,0.0131390458057184
"R4GNJ5_HUMAN",0.00905292138806692,3.54711626423634e-05
"ACE_HUMAN",0.00049290907325393,0.0130129573950939
"ACE2_HUMAN",0.00839941182126008,0.00102623041556253
"ACER1_HUMAN",0.00495100113465882,0.00625422548885971
"ACER2_HUMAN",0.00372353707330041,0.00811513378796836
"ACER3_HUMAN",0.00648473601861991,0.00392899246245482
"ACES_HUMAN",0.00882010989003347,0.000388427198144485
"ACINU_HUMAN",0.00907004352650946,9.5129855117357e-06
"ACKR1_HUMAN",0.00751958471801928,0.00236010047314243
"V9GYB7_HUMAN",0.00105067148454057,0.0121673565072395
"ACKR3_HUMAN",0.00235333448879141,0.0101924421518085
"ACKR4_HUMAN",0.00905744632249255,2.86110937485747e-05
"ACLY_HUMAN",0.00857985770234241,0.000752663760360849
"ACMSD_HUMAN",0.00903870153420369,5.70293042607058e-05
"ACOC_HUMAN",0.00797354882233658,0.001671863973341
"ACON_HUMAN",0.00902537076909442,7.72395346098301e-05
"IRG1_HUMAN",0.000107070915735381,0.0135979109200423
"ACOT1_HUMAN",0.00731740914947008,0.00266661062299875
"ACO11_HUMAN",0.00861386630064036,0.000701104708812177
"ACO12_HUMAN",0.000357276513319078,0.0132185843982444
"ACO13_HUMAN",0.00904160716503775,5.26241956278254e-05
"ACOT2_HUMAN",0.00764674261896148,0.00216732155552708
"ACOT4_HUMAN",0.00801258365259921,0.00161268485610508
"ACOT6_HUMAN",0.00907371195543495,3.95142974238679e-06
"BACH_HUMAN",0.00862299824216729,0.000687260143981806
"ACOT8_HUMAN",0.000430376317346228,0.0131077607609098
"ACOT9_HUMAN",0.00256535719627421,0.00987100315544598
"ACOX1_HUMAN",0.00820296562302981,0.00132405450029408
"ACOX2_HUMAN",0.00131034398245207,0.0117736776032077
"ACOX3_HUMAN",0.00130811399176399,0.0117770584013175
"ACOXL_HUMAN",0.00749459879339984,0.00239798061639791
"PPAC_HUMAN",0.00845183466218323,0.000946754280327347
"PPAL_HUMAN",0.0090703547184267,9.04120011319217e-06
"PPAT_HUMAN",0.00898274301365501,0.000141865739455087
"PPA5_HUMAN",7.72406221694926e-05,0.0136431354138659
"PPA6_HUMAN",0.000208268052316271,0.0134444900605338
"ACP7_HUMAN",0.00541941067745957,0.00554408884777959
"ACRO_HUMAN",0.00361090699546348,0.00828588766433379
